"시점",공항,항구
"시점",김포,부산
"2015.01",103088,50545
"2015.02",86907,44152
"2015.03",86170,36822
"2015.04",85345,46589
"2015.05",88510,54680
"2015.06",73846,36952
"2015.07",90832,45586
"2015.08",98274,58726
"2015.09",84994,40296
"2015.10",94559,51427
"2015.11",90884,48958
"2015.12",95942,46732
"2016.01",106726,52215
"2016.02",100064,54341
"2016.03",87958,45936
"2016.04",90055,45997
"2016.05",87043,46331
"2016.06",87410,45601
"2016.07",92870,54485
"2016.08",94740,52612
"2016.09",91024,45155
"2016.10",94792,53042
"2016.11",89427,52007
"2016.12",94679,51246
"2017.01",103484,58974
"2017.02",100910,67316
"2017.03",87011,55985
"2017.04",90377,66503
"2017.05",89216,65276
"2017.06",86637,57440
"2017.07",94029,62795
"2017.08",93634,57500
"2017.09",93333,49628
"2017.10",96611,52704
"2017.11",94971,58196
"2017.12",100325,56206
"2018.01",110379,65294
"2018.02",93820,63938
"2018.03",91795,51114
"2018.04",96337,68418
"2018.05",99615,57935
"2018.06",87770,54290
"2018.07",90681,56159
"2018.08",88028,64656
"2018.09",79656,50863
"2018.10",92047,56226
"2018.11",88193,62874
"2018.12",88528,60818
"2019.01",99654,60278
"2019.02",95195,64564
"2019.03",86736,56859
"2019.04",85989,58479
"2019.05",94036,58426
"2019.06",86706,50123
"2019.07",85434,37189
"2019.08",76823,19089
"2019.09",71236,10481
"2019.10",75357,11691
"2019.11",74786,14319
"2019.12",79798,17234
"2020.01",81131,18930
"2020.02",36751,11533
"2020.03",6785,4225
"2020.04",8,3510
"2020.05",22,3800
"2020.06",50,3419
"2020.07",42,3669
"2020.08",17,3555
"2020.09",8,3487
"2020.10",44,3640
"2020.11",52,3471
"2020.12",15,3238
"2021.01",45,3271
"2021.02",46,3322
"2021.03",51,3273
"2021.04",25,3391
"2021.05",2258,3435
"2021.06",783,3341
"2021.07",950,3315
"2021.08",875,3228
"2021.09",1036,3038
"2021.10",1033,3281
"2021.11",722,3566
"2021.12",1065,3072
"2022.01",1191,3279
"2022.02",1349,3179
"2022.03",905,3418
"2022.04",1018,3158
"2022.05",924,3231
"2022.06",1171,3105
"2022.07",4183,3326
"2022.08",9141,3533
"2022.09",8724,2682
"2022.10",15826,3494
"2022.11",35388,3687
"2022.12",39415,5760
